q_id,accepans,q_answer_count,q_comment_count,q_creation_date,q_favorite_count,q_view_count,q_tags,a_comment_count,a_edit,a_score,first_answer_date,last_answer_date,accepans_date,accepans_comment_count,accepans_a_edit,accepans_a_score
44140148,0,3,7,2017-05-23 16:18:13.037000,0,51,python|enums,5,1,5,2017-05-23 16:22:07.413 UTC,2017-05-23 16:25:17.713 UTC,,0,0,0
39753528,0,1,0,2016-09-28 16:58:49.683000,1,99,matlab|python-2.7|opencv|camera-calibration|stereoscopy,1,1,0,2016-09-28 19:24:24.073 UTC,2016-09-28 19:24:24.073 UTC,,0,0,0
39333411,0,1,4,2016-09-05 15:08:54.107000,0,37,javascript|php|ajax|forms,0,0,0,2016-09-05 15:22:52.46 UTC,2016-09-05 15:22:52.46 UTC,,0,0,0
39717333,0,1,4,2016-09-27 06:18:18.197000,0,39,javascript|jquery|html,0,0,0,2016-09-27 07:52:06.537 UTC,2016-09-27 07:52:06.537 UTC,,0,0,0
41637618,0,1,5,2017-01-13 15:08:01.107000,0,164,java|c#|wpf|applet|webbrowser-control,0,1,0,2017-01-14 10:24:50.36 UTC,2017-01-14 10:24:50.36 UTC,,0,0,0
41552622,0,1,5,2017-01-09 16:34:46.030000,0,54,javascript|jquery|matterjs,0,0,1,2017-01-09 21:27:24.24 UTC,2017-01-09 21:27:24.24 UTC,,0,0,0
41172920,0,2,7,2016-12-15 20:36:22.797000,0,65,javascript|google-chrome,0,0,1,2016-12-15 20:47:28.077 UTC,2016-12-15 21:15:42.753 UTC,,0,0,0
37745118,0,1,0,2016-06-10 09:48:58.390000,0,157,python|django,1,1,0,2016-06-10 09:59:12.703 UTC,2016-06-10 09:59:12.703 UTC,,0,0,0
41262328,0,1,0,2016-12-21 11:58:35.780000,0,20,javascript|jquery|jquery-ui,4,0,0,2016-12-21 12:01:45.57 UTC,2016-12-21 12:01:45.57 UTC,,0,0,0
43240408,0,1,3,2017-04-05 19:51:22.990000,0,33,java|swing|jpanel,5,0,2,2017-04-05 19:58:36.557 UTC,2017-04-05 19:58:36.557 UTC,,0,0,0
37395548,0,1,0,2016-05-23 15:58:53.763000,0,184,python|pandas|matplotlib,6,1,1,2016-05-23 16:16:00.653 UTC,2016-05-23 16:16:00.653 UTC,,0,0,0
43953363,0,1,0,2017-05-13 12:50:38.863000,0,15,javascript,1,0,0,2017-05-22 23:25:08.187 UTC,2017-05-22 23:25:08.187 UTC,,0,0,0
35310630,0,1,0,2016-02-10 08:57:59.110000,0,107,python|django|django-filebrowser,1,0,0,2016-05-26 20:17:34.137 UTC,2016-05-26 20:17:34.137 UTC,,0,0,0
39125613,0,1,1,2016-08-24 14:07:22.410000,0,52,java|android|debugging|nullpointerexception,8,1,2,2016-08-24 14:10:46.593 UTC,2016-08-24 14:10:46.593 UTC,,0,0,0
35130727,0,1,3,2016-02-01 12:37:42.050000,0,378,java|iframe|selenium-webdriver,0,1,0,2016-02-01 13:12:46.997 UTC,2016-02-01 13:12:46.997 UTC,,0,0,0
36026488,0,2,3,2016-03-16 03:53:53.840000,0,43,python,0,0,0,2016-03-16 03:58:23.9 UTC,2016-03-16 04:02:10.147 UTC,,0,0,0
42005308,0,2,4,2017-02-02 14:52:15.763000,0,41,java|text-files|control,0,0,0,2017-02-02 15:07:06.39 UTC,2017-02-06 00:10:56.983 UTC,,0,0,0
38653200,0,1,1,2016-07-29 07:43:43.497000,0,112,javascript|c#|invokescript,6,1,0,2016-08-01 06:40:38.113 UTC,2016-08-01 06:40:38.113 UTC,,0,0,0
34609569,0,2,5,2016-01-05 10:35:26.027000,0,42,python|string|list|replace,0,0,0,2016-01-05 10:54:23.503 UTC,2016-01-05 11:41:39.793 UTC,,0,0,0
44292067,0,1,2,2017-05-31 18:18:55.153000,0,19,python|mysql|pymysql,0,0,0,2017-05-31 19:36:32.18 UTC,2017-05-31 19:36:32.18 UTC,,0,0,0
40860550,0,1,3,2016-11-29 07:58:07.407000,0,32,javascript|firefox|firefox-addon,0,1,0,2016-11-29 10:27:48.513 UTC,2016-11-29 10:27:48.513 UTC,,0,0,0
42658194,0,1,0,2017-03-07 20:57:53.330000,0,103,javascript|node.js|sinon,3,1,0,2017-03-07 21:31:19.187 UTC,2017-03-07 21:31:19.187 UTC,,0,0,0
40198580,0,1,2,2016-10-23 01:08:09.157000,0,27,java|class-diagram|object-oriented-analysis,3,0,0,2016-10-23 02:09:53.507 UTC,2016-10-23 02:09:53.507 UTC,,0,0,0
42462670,0,1,9,2017-02-25 23:04:45.023000,0,39,java|arrays|arraylist|nullpointerexception|awt-eventqueue,0,0,0,2017-02-25 23:44:48.173 UTC,2017-02-25 23:44:48.173 UTC,,0,0,0
38227826,0,1,0,2016-07-06 15:27:56.057000,0,31,javascript|angularjs|redirect,1,0,0,2016-07-06 15:38:22.29 UTC,2016-07-06 15:38:22.29 UTC,,0,0,0
35773497,0,1,0,2016-03-03 13:27:44.773000,0,35,javascript|jquery,1,1,3,2016-03-03 13:28:55.027 UTC,2016-03-03 13:28:55.027 UTC,,0,0,0
36756116,0,1,0,2016-04-20 22:09:12.863000,0,608,javascript|angularjs|calendar|fullcalendar|ui-calendar,1,0,0,2016-04-20 22:26:12.453 UTC,2016-04-20 22:26:12.453 UTC,,0,0,0
43239398,0,1,0,2017-04-05 18:53:33.227000,1,40,javascript|node.js|websocket|socket.io,1,0,0,2017-04-05 18:56:46.033 UTC,2017-04-05 18:56:46.033 UTC,,0,0,0
37801357,0,1,0,2016-06-14 00:57:08.713000,0,196,java|android|wifi|wireless,1,0,0,2016-06-14 07:21:44.753 UTC,2016-06-14 07:21:44.753 UTC,,0,0,0
41505416,0,1,2,2017-01-06 12:09:46.807000,0,112,python|matrix|scipy|sparse-matrix|mask,3,1,0,2017-01-06 18:37:34.99 UTC,2017-01-06 18:37:34.99 UTC,,0,0,0
39234122,0,1,2,2016-08-30 17:56:43.350000,0,108,python-2.7|pandas|classification|random-forest|one-hot-encoding,3,0,0,2016-09-06 14:31:42.43 UTC,2016-09-06 14:31:42.43 UTC,,0,0,0
37501016,0,1,4,2016-05-28 15:49:11.847000,0,284,java|spring|spring-mvc|spring-ioc,3,0,0,2016-05-28 18:48:58.31 UTC,2016-05-28 18:48:58.31 UTC,,0,0,0
43018755,0,1,4,2017-03-25 16:14:18.630000,0,37,java|android|android-layout|android-studio,0,0,0,2017-03-25 20:26:22.443 UTC,2017-03-25 20:26:22.443 UTC,,0,0,0
38069853,0,1,5,2016-06-28 07:33:47.250000,0,40,java|android|oop,0,0,1,2016-06-28 07:36:42.093 UTC,2016-06-28 07:36:42.093 UTC,,0,0,0
37128915,0,1,5,2016-05-10 03:43:26.687000,0,113,javascript|svg|phantomjs|pdf-generation|html-to-pdf,0,0,0,2016-05-10 05:57:04.467 UTC,2016-05-10 05:57:04.467 UTC,,0,0,0
40403145,0,1,6,2016-11-03 13:46:02.703000,0,119,javascript|android|react-native,0,0,0,2016-11-03 15:24:04.08 UTC,2016-11-03 15:24:04.08 UTC,,0,0,0
