id,tag_name,count
1,.net,257092
2,html,683981
3,javascript,1457944
4,css,490198
5,php,1114030
8,c,257777
9,c#,1129802
10,c++,529933
12,ruby,186002
14,lisp,5160
16,python,806788
17,java,1303993
18,regex,173693
19,xml,162578
21,mysql,480774
22,sql,402723
23,tsql,46634
26,j#,60
27,browser,19856
28,linq,65729
30,database,130769
33,language-agnostic,7694
34,unix,36035
35,sockets,48893
38,flex,24400
40,table,8146
41,vb.net,112669
44,structuremap,1620
46,alt.net,9
48,architecture,12271
49,forms,84129
52,aptana,1807
53,eclipse,108593
55,subclipse,678
57,air,7681
58,linux,151868
60,tutorials,3
61,memory,25051
63,svn,24906
64,windows,112627
65,sitemap,1687
66,navigation,9270
67,membership,866
71,theory,1495
72,sql-server,209941
73,csv,47631
75,sysadmin,440
76,compression,6135
80,apache,74786
81,versioning,2297
82,media,2727
83,embed,3476
87,printing,16499
88,youtube,12454
90,pdf,33253
95,convention,354
96,asp.net,321623
97,migration,6557
99,filesystems,6753
100,stack-overflow,3061
102,hardware,2412
105,hdd,127
110,ide,8229
113,music,2216
114,arrays,236131
115,tags,8381
116,cloud,5122
117,mailto,833
118,delphi,39795
119,git,89391
121,sqlite,57149
125,compiler-construction,9955
126,x11,2338
127,gtk,6211
129,opengl,29211
131,collaboration,459
134,sorting,46696
136,security,42367
137,oop,41920
139,string,117094
142,ant,14178
143,phing,374
146,email,44972
148,generics,31486
152,lucene,10026
153,vb6,9306
154,iphone,217989
162,com,10204
169,openid,2861
171,photoshop,1899
173,data-binding,17853
174,design,19604
176,beta,447
178,crash,9673
183,authentication,33433
186,testing,28571
189,trust,135
190,deployment,16475
194,oracle,87850
197,random,21716
198,nt,36
201,api,56070
205,puzzle,799
210,metacity,9
211,compiz,42
215,iis,28016
218,directory,8450
219,encryption,24700
220,passwords,7809
227,iteration,5736
228,peripherals,64
231,db2,7451
236,embedded,6367
238,oledb,3401
239,provider,616
240,legacy,606
241,gis,3289
242,mapping,5800
243,django,150764
245,format,7654
246,title-case,43
247,reflection,18586
248,algorithm,78157
250,simulation,2557
251,poker,338
253,globalization,1250
256,postgresql,73419
259,math,27966
261,ftp,11376
263,registry,5421
264,cruisecontrol.net,1381
265,msbuild,10588
267,keyboard,9287
268,colemak,9
269,qwerty,37
270,dvorak,54
271,documentation,6723
272,xslt,28663
273,sandcastle,300
276,variables,36234
277,debugging,36804
279,unicode,18469
281,connection,6864
282,irc,1024
283,social,940
284,.net-1.1,367
290,twitter,20923
291,yahoo,992
292,cookies,24544
293,vi,1635
294,ip,6565
295,country,346
296,lookup,1844
299,flash,35154
305,floating-point,9540
306,precision,2297
308,directx,4736
309,3d,11957
311,heap,4052
312,purify,30
314,size,5299
316,ocr,3021
317,indexing,20134
318,article,368
319,chm,434
321,malloc,5844
324,subdomain,4453
325,dns,11489
328,account,815
329,viewstate,1519
330,safari,12263
334,csla,205
335,cvs,1473
339,meta,1154
341,xss,3251
342,queue,6850
343,collections,16719
344,nant,1025
345,io,12948
346,curses,617
347,rockbox,5
348,audio,26446
350,gtd,25
351,subsonic,1217
352,nhibernate,18219
353,parallel-processing,12445
355,validation,49964
357,xampp,8213
359,permissions,11649
360,parameters,14343
361,methods,20524
363,ajax,175337
364,rest,57111
365,url,31875
366,address-bar,170
367,syntax,14873
368,binary,9824
369,osx,79724
370,vim,21712
371,emacs,15337
373,favicon,1104
375,polymorphism,6738
376,silverlight,27602
378,wpf,133811
379,error-handling,14889
382,wordpress,119603
386,ssh,18247
387,bash,88526
390,shell,57864
391,terminal,13063
392,apple-touch-icon,67
393,usb,6024
394,xfdl,9
398,podcast,197
402,statistics,8276
403,profile,1389
405,lingo,46
406,shockwave,80
407,application-integration,10
418,free,1653
419,planning,65
421,environment,1383
422,workspace,845
423,mouse,3497
426,processing,4125
427,anchor,3699
430,quotes,1540
432,import,15170
438,ergonomics,38
444,model-view-controller,23796
445,datacontext,1284
448,cpu,3079
449,throttle,164
450,macros,10540
451,double,5941
452,int,7618
454,project-hosting,30
456,version-control,13844
457,dll,20021
458,tdd,5089
459,rss,7086
460,mvp,1585
463,coldfusion,11794
469,checkbox,22450
470,asp.net-mvc,160311
474,freeware,44
477,clr,3173
485,bdd,2337
487,build-automation,1686
488,console,9348
491,datatable,14215
492,resharper,4071
493,backup,4332
494,vbscript,15459
495,powerbuilder,1037
496,textwrangler,168
502,sqa,16
503,monads,2332
506,graphics,15652
508,agile,1236
511,concurrency,14519
514,diagram,1279
516,obfuscation,2212
517,treeview,7107
518,forum,851
519,video,26004
520,streaming,5656
521,payment,2234
522,excel,128192
523,grid,8196
524,clipboard,2547
526,powershell,48636
527,cmdlets,308
529,installation,10212
531,scripting,11984
536,hosting,3738
537,dash,192
538,erlang,7598
540,verification,895
541,getter,1205
542,setter,1262
543,optimization,24127
545,shortcuts,442
547,xen,386
548,virtualization,1807
549,ubuntu,37070
552,mono,8916
555,formatting,8675
556,paging,1924
558,jxta,63
559,hsl,168
560,rgb,2316
562,turkish,142
564,modi,61
565,dep,59
567,website,7418
572,tree,11339
573,nslookup,150
578,recursion,26731
579,usability,845
580,perl,57201
581,hash,17811
582,each,3169
583,boot,1144
585,procedural,132
586,maintainability,250
587,interpreted,27
588,comparison,5810
596,scalar,340
598,performance,72037
600,vmware,2372
601,cron,10572
602,settings,3684
603,time,18450
604,teamcity,4743
605,mbunit,247
606,diff,3398
607,.htaccess,59090
608,mod-rewrite,28695
609,mappath,16
614,fogbugz,178
618,midi,1322
619,interface-design,31
623,complexity-theory,2557
624,big-o,3802
627,service,17590
628,reduce,1275
629,ienumerable,2664
630,ienumerator,234
631,foreach,16119
633,vpn,1630
638,explorer,879
640,maps,6260
641,ssl,31818
642,https,15827
643,iframe,25025
644,xhtml,6305
645,markup,1129
646,http-referer,440
647,orm,14122
650,rake,3982
652,clickonce,2833
653,installer,5222
655,sap,3681
656,tortoisesvn,4393
657,integration,3604
658,upload,11203
659,project-planning,258
662,teamwork,69
667,ram,1391
669,sharepoint,22416
671,privileges,1009
672,stsadm,54
673,impersonation,1206
674,markdown,3906
677,propertygrid,845
678,prototyping,145
680,wmi,3510
681,64bit,5223
682,xelement,725
683,innerxml,12
684,replication,2913
685,audit,684
688,session,36609
689,union,3266
691,firefox,31213
694,null,11006
696,profiler,1291
698,lamp,1697
700,port,4232
701,paradigms,244
706,smb,475
711,multilingual,1510
713,ear,1062
714,websphere,5208
716,rational,308
717,merge,13740
719,policy,631
722,benchmarking,2281
723,evaluation,776
724,file-io,18063
725,configuration,12980
727,webcam,2137
729,ado.net,8472
733,tfs,15920
735,messaging,1967
740,primitive,752
741,autoboxing,317
742,mobile,22727
743,sms,6182
752,wcf,47712
753,soa,1777
758,workflow,4065
759,sdk,11293
760,proxy,13194
761,gem,6441
766,dsl,1422
767,t4,1411
768,vsx,330
773,seo,7005
777,mapi,533
778,pinvoke,3185
781,intellisense,2621
782,xming,57
785,etag,444
787,olap,1322
790,filehelpers,354
792,xmp,186
793,qos,147
794,networking,25801
795,adsl,10
796,modem,608
802,mercurial,7573
804,jni,7480
805,nativelibrary,147
815,ssp,40
816,search,27635
817,microcontroller,2237
820,jquery,864336
823,x86,9243
824,assembly,25459
828,confirm,621
829,events,29080
831,virtual,2492
833,height,5041
834,schema,4797
835,ddl,1236
836,ibm,2842
837,remoting,1087
838,wireless,1045
846,culture,658
847,joomla,14494
848,grails,27370
849,groovy,18425
852,resources,7666
853,hook,3850
854,matlab,73951
855,firebird,2412
856,interbase,278
859,lambda,16938
861,standards,2699
862,layout,21365
865,user-interface,40678
868,gwt,20215
869,charts,17045
873,logic,5776
874,lifecycle,1218
876,msf,22
877,cmmi,30
881,zip,6470
883,sgml,109
886,leader,26
887,community-server,27
888,moss,907
889,winapi,30145
890,jsf,32747
891,microformats,152
896,desktop,1773
902,dojo,9026
904,post,28108
905,html5,106019
906,doctype,994
908,xcode,117293
912,informix,1566
913,spl,325
914,wiki,1213
916,fonts,14811
921,firebug,2733
922,graphing,445
925,opera,1805
926,inheritance,29240
928,wysiwyg,2011
930,ms-access,35413
931,rcp,1409
932,jnlp,1220
934,compatibility,2409
935,dnsmasq,155
936,n-tier,565
938,linker,9825
940,resume,450
942,logging,25629
946,uuid,1769
948,log4net,3282
952,helpfile,65
953,gltail,2
955,jobs,1499
962,scsf,46
964,customization,3313
965,plugins,19280
968,haml,3190
975,msdn,943
976,sybase,2510
977,icalendar,1720
978,outlook,11675
980,gmail,6865
981,recurrence,685
982,timezone,7804
984,google-app-engine,39486
985,redistributable,169
989,aix,1308
990,awk,19284
991,scheme,5888
992,continuations,385
994,cocoa,36857
995,notifications,11143
996,ini,1202
997,plot,20256
1000,junit,16581
1001,testng,4858
1002,aop,2682
1004,icons,6620
1005,openjdk,765
1006,icedtea,23
1008,stringbuilder,1519
1009,string.format,417
1011,base64,6482
1012,debian,6641
1014,scaling,1702
1018,lua,12965
1022,corecon,6
1023,code-reuse,693
1024,singleton,6372
1026,construction,88
1030,shader,4078
1031,transcode,77
1032,flv,777
1033,mp3,3674
1034,mp4,1935
1040,repair,135
1042,parents,76
1044,relate,11
1046,xna,7211
1047,skins,73
1053,implementation,1657
1056,mcpd,5
1057,mcts,13
1058,usersgroup,2
1062,filenames,2798
1065,animation,31463
1066,continuous-integration,7049
1067,homebrew,3414
1071,extension-methods,2655
1072,caucho,17
1073,resin,167
1074,webserver,6030
1076,bouncedemail,47
1078,enums,14177
1079,flags,971
1080,geometry,7030
1081,applet,7314
1082,swing,67704
1083,primes,2064
1084,whitespace,3055
1086,refactoring,5759
1090,stack,7248
1097,tagging,733
1098,favorites,168
1101,automake,862
1102,autoconf,867
1103,etiquette,40
1104,selenium,43593
1106,linq-to-objects,1301
1108,abap,1447
1110,expand,940
1113,maintenance,421
1115,reorganize,37
1116,rebuild,211
1117,xaml,46471
