answer,post_answer_count,post_comment_count,post_favorite_count,post_score,post_view_count,users_reputation,users_up_votes,users_down_votes,score_prev_acceptans,score_prev_ans,score_prev_comment,score_prev_question,score_prev_favquestion,age_user,title_length,num_block_code,num_i_sentences,num_wh_words,num_y_sentences,tags_popularity,num_tags,code_length,tag_count
1,0,0,0,1,29,24680,24787,1312,985,1729,2070,37,17,2708.0,61,2,3,2,0,3,4,1062.0,4.0
2,1,2,0,2,112,6663,17298,0,117,155,808,76,6,1396.0,103,3,1,0,0,0,3,1643.0,3.0
2,2,0,0,-1,51,1213,9593,13,124,234,676,139,23,1625.0,61,2,5,3,1,1,3,1696.0,3.0
2,1,0,0,1,246,1213,9593,13,124,234,676,139,23,1905.0,82,3,7,0,0,2,5,2399.0,5.0
2,1,0,0,0,40,5742,8492,307,154,310,316,32,3,1198.0,28,2,3,0,0,0,3,92.0,3.0
2,1,1,0,1,105,5090,8428,6,31,369,68,104,18,1155.0,50,1,1,0,0,3,5,66.0,5.0
2,3,3,0,2,138,131179,7784,729,6364,10652,4084,116,47,1162.0,33,2,7,0,1,3,4,197.0,4.0
2,1,0,1,1,137,24745,6766,171,1303,2014,424,2,2,2639.0,70,0,2,1,0,0,2,0.0,2.0
1,0,0,0,0,578,4494,6105,0,26,155,149,66,10,2433.0,68,1,0,1,0,0,3,123.0,3.0
2,1,4,0,1,110,5080,5432,11,191,342,261,55,10,200.0,39,3,5,1,0,1,4,1789.0,4.0
2,1,0,0,1,74,2738,5402,12,103,177,54,35,4,764.0,55,1,3,1,0,0,2,251.0,2.0
1,0,3,0,0,19,58334,5264,243,2219,4661,2755,23,7,2981.0,87,0,1,0,0,1,1,0.0,1.0
2,2,6,2,7,868,176380,4795,15,9769,15860,2495,9,2,2233.0,68,0,1,1,0,1,2,0.0,2.0
2,1,4,0,1,99,37552,4791,151,131,206,270,-21,94,2857.0,51,1,1,1,0,1,3,498.0,3.0
1,0,0,0,0,44,5840,4723,18,91,417,66,5,0,2135.0,42,0,3,0,0,0,4,0.0,4.0
2,2,0,0,0,371,1494,4012,9,4,10,67,7,2,2524.0,45,0,0,0,0,1,4,0.0,4.0
2,1,0,0,0,65,1494,4012,9,4,10,67,7,2,2156.0,40,0,2,1,0,1,2,0.0,2.0
2,1,0,1,2,100,6251,3944,688,144,438,150,43,17,2577.0,64,3,2,0,0,3,5,1068.0,5.0
2,2,7,0,0,143,9855,3746,232,261,644,553,20,2,3041.0,38,3,12,1,1,1,4,531.0,4.0
2,1,1,1,2,44,55036,3668,3665,2153,3919,4301,93,11,382.0,45,2,4,2,0,1,2,234.0,2.0
2,1,6,0,1,58,19183,3640,2192,561,884,2746,94,18,2681.0,39,3,1,0,1,1,2,258.0,2.0
2,1,3,0,0,202,16566,3539,93,797,1203,368,9,7,2006.0,56,4,11,2,0,2,5,1592.0,5.0
2,1,0,1,1,408,3076,3500,5,24,30,50,12,17,2516.0,61,0,4,1,0,0,1,0.0,1.0
1,0,2,0,0,62,2429,3484,34,50,83,168,8,0,2248.0,62,3,0,1,1,2,3,1065.0,3.0
1,0,0,0,0,176,1710,3479,22,36,91,116,44,4,1670.0,37,0,13,1,0,1,4,0.0,4.0
2,2,1,1,1,38,8041,3390,75,56,202,412,531,150,1527.0,90,2,8,2,0,2,3,94.0,3.0
2,1,0,0,0,52,23526,3363,952,1177,1853,974,3,1,2356.0,45,3,5,3,1,2,2,79.0,2.0
2,1,7,0,0,30,9139,3337,211,306,514,331,86,15,1212.0,62,2,6,0,0,1,4,110.0,4.0
2,1,0,0,0,19,9139,3337,211,306,514,331,86,15,1063.0,71,1,2,0,0,1,2,144.0,2.0
2,1,0,0,2,184,16828,3265,97,348,667,1027,24,1,2856.0,63,1,6,0,0,1,5,176.0,5.0
2,2,8,3,5,257,12079,3262,42,79,922,230,42,13,1918.0,69,2,4,0,2,2,5,318.0,5.0
2,2,1,0,3,68,13381,3121,54,45,840,516,19,15,2004.0,91,2,2,0,2,1,1,357.0,1.0
2,1,9,2,0,59,13381,3121,54,45,840,516,19,15,1891.0,85,2,4,3,0,3,5,840.0,5.0
2,2,4,0,1,40,13381,3121,54,45,840,516,19,15,1526.0,106,0,5,0,0,2,2,0.0,2.0
2,1,0,0,0,1296,16444,3098,809,832,985,897,163,27,1865.0,45,1,7,0,0,2,3,303.0,3.0
2,1,1,1,2,1006,16444,3098,809,832,985,897,163,27,1889.0,83,1,6,2,1,1,2,1476.0,2.0
1,0,3,0,1,33,16444,3098,809,832,985,897,163,27,2269.0,48,0,7,1,0,1,5,0.0,5.0
1,0,1,0,0,41,16444,3098,809,832,985,897,163,27,2192.0,41,3,3,0,0,1,5,420.0,5.0
2,1,0,0,0,29,7584,3028,7,333,641,334,1,3,2198.0,44,2,2,0,0,0,4,104.0,4.0
2,6,13,6,34,1834,18205,2926,216,817,1319,191,45,6,2381.0,76,3,12,5,0,4,4,307.0,4.0
2,2,0,0,1,381,16228,2811,151,462,1368,255,33,10,2971.0,48,1,3,1,0,1,3,507.0,3.0
2,1,0,0,3,84,5832,2758,452,45,230,517,20,2,2730.0,71,0,0,1,2,1,5,0.0,5.0
1,0,5,0,0,293,1442,2755,39,10,61,22,-3,0,1170.0,37,1,2,0,0,0,5,18696.0,5.0
1,0,6,0,1,42,6892,2727,145,139,465,80,26,5,1320.0,76,1,3,0,0,2,4,2044.0,4.0
2,1,0,0,6,322,1612,2714,48,104,136,81,20,2,2045.0,41,2,3,2,0,1,4,3616.0,4.0
2,2,2,0,1,158,2158,2685,2,5,11,40,44,5,2214.0,71,1,2,1,0,2,2,237.0,2.0
2,3,0,0,0,90,3142,2628,25,28,106,60,67,23,1578.0,48,2,5,2,0,1,5,2294.0,5.0
