class,post_comment_count,post_favorite_count,post_score,post_view_count,users_reputation,users_up_votes,users_down_votes,score_prev_acceptans,score_prev_ans,score_prev_comment,score_prev_question,score_prev_favquestion,user_numpost,user_numpost_answered,post_answer_count,age_user,title_length,num_block_code,num_i_sentences,num_wh_words,num_y_sentences,tags_popularity,num_tags,num_words,num_url,post_error,code_length
0,2,0,3,1279,1377,106,2,0,4,9,22,2,167,158,0,1840.0,111,1,0,0,0,2,4,13.0,1.0,0.0,473.0
0,2,0,1,334,64,14,0,0,0,2,3,4,14,11,0,28.0,73,1,9,2,0,1,4,84.0,1.0,0.0,1192.0
0,2,0,0,118,1,0,0,0,0,0,0,0,1,0,0,250.0,31,0,5,1,0,1,2,41.0,0.0,0.0,0.0
0,3,0,0,71,354,35,1,4,7,8,0,0,31,24,0,429.0,68,0,4,0,0,2,5,50.0,1.0,0.0,0.0
0,2,0,0,155,1,0,0,0,0,0,0,0,4,3,0,1.0,36,7,7,2,0,1,2,55.0,0.0,0.0,1252.0
0,0,0,1,220,6,0,0,0,0,0,1,0,1,0,0,0.0,77,3,6,2,0,0,2,106.0,0.0,0.0,420.0
0,7,0,0,45,1256,539,10,30,43,85,27,9,71,47,0,674.0,39,3,3,0,0,1,3,34.0,0.0,0.0,1460.0
0,3,0,0,27,45,1,0,0,0,1,0,0,11,8,0,308.0,24,1,4,1,0,4,4,24.0,0.0,0.0,1156.0
0,6,0,0,216,430,55,1,9,10,4,17,5,96,85,0,432.0,32,1,4,1,0,2,3,37.0,1.0,0.0,269.0
0,10,0,0,20,34,4,0,0,0,0,2,1,8,7,0,181.0,27,1,2,0,0,1,2,32.0,0.0,0.0,805.0
0,2,0,0,139,54,24,0,0,3,1,0,0,10,5,0,510.0,45,1,3,1,0,1,1,42.0,1.0,0.0,1113.0
0,1,0,1,84,4401,1763,2,126,185,42,29,3,144,122,0,2023.0,24,0,7,0,0,1,3,82.0,0.0,0.0,0.0
0,9,0,0,24,1,0,0,0,0,0,0,0,1,0,0,0.0,75,0,4,4,0,1,2,46.0,0.0,0.0,0.0
