question_id,tags_asociados,cant_tags_asociados,tiempo_seg,tiempo_hrs,tiempo_min,tiempo_dias
4979170,git,3,9097,3.0,151.62,0.11
4979170,ubuntu,3,9097,3.0,151.62,0.11
4979170,gitosis,3,9097,3.0,151.62,0.11
37995491,java,5,94896,26.0,1581.6,1.1
37995491,selenium,5,94896,26.0,1581.6,1.1
37995491,selenium-webdriver,5,94896,26.0,1581.6,1.1
37995491,automated-tests,5,94896,26.0,1581.6,1.1
37995491,testng,5,94896,26.0,1581.6,1.1
19291104,c++,4,976,0.0,16.27,0.01
19291104,c,4,976,0.0,16.27,0.01
19291104,iostream,4,976,0.0,16.27,0.01
19291104,fstream,4,976,0.0,16.27,0.01
23975919,python,3,190,0.0,3.17,0.0
23975919,python-datetime,3,190,0.0,3.17,0.0
23975919,flask-security,3,190,0.0,3.17,0.0
33597984,vba,3,17138,5.0,285.63,0.2
33597984,treeview,3,17138,5.0,285.63,0.2
33597984,limit,3,17138,5.0,285.63,0.2
13116291,android,3,601482,167.0,10024.7,6.96
13116291,android-intent,3,601482,167.0,10024.7,6.96
13116291,android-activity,3,601482,167.0,10024.7,6.96
6576468,caching,2,1159263,322.0,19321.05,13.42
6576468,google-chrome,2,1159263,322.0,19321.05,13.42
23129429,excel-vba,1,1351,0.0,22.52,0.02
5421892,javascript,3,415,0.0,6.92,0.0
5421892,jquery,3,415,0.0,6.92,0.0
5421892,internet-explorer,3,415,0.0,6.92,0.0
12231789,c#,3,1497206,416.0,24953.43,17.33
12231789,task,3,1497206,416.0,24953.43,17.33
12231789,blocked-threads,3,1497206,416.0,24953.43,17.33
34802074,spring,5,5583,2.0,93.05,0.06
34802074,spring-mvc,5,5583,2.0,93.05,0.06
34802074,spring-security,5,5583,2.0,93.05,0.06
34802074,spring-boot,5,5583,2.0,93.05,0.06
34802074,thymeleaf,5,5583,2.0,93.05,0.06
16151494,ios,5,1490,0.0,24.83,0.02
16151494,iphone,5,1490,0.0,24.83,0.02
16151494,objective-c,5,1490,0.0,24.83,0.02
16151494,appdelegate,5,1490,0.0,24.83,0.02
16151494,mfmessagecomposeview,5,1490,0.0,24.83,0.02
38495833,ios,4,756321,210.0,12605.35,8.75
38495833,objective-c,4,756321,210.0,12605.35,8.75
38495833,widget,4,756321,210.0,12605.35,8.75
38495833,today-extension,4,756321,210.0,12605.35,8.75
34661448,sql,4,304,0.0,5.07,0.0
34661448,oracle,4,304,0.0,5.07,0.0
34661448,plsql,4,304,0.0,5.07,0.0
34661448,duplicates,4,304,0.0,5.07,0.0
23992593,jquery,4,4193,1.0,69.88,0.05
23992593,cakephp,4,4193,1.0,69.88,0.05
23992593,autocomplete,4,4193,1.0,69.88,0.05
23992593,cakephp-2.5,4,4193,1.0,69.88,0.05
39065735,c#,2,333707,93.0,5561.78,3.86
39065735,asp.net,2,333707,93.0,5561.78,3.86
13515225,ruby-on-rails,5,3804,1.0,63.4,0.04
13515225,ruby,5,3804,1.0,63.4,0.04
13515225,ruby-on-rails-3,5,3804,1.0,63.4,0.04
13515225,activerecord,5,3804,1.0,63.4,0.04
13515225,lambda,5,3804,1.0,63.4,0.04
26769545,scala,1,4985,1.0,83.08,0.06
29851274,sql-server,2,545,0.0,9.08,0.01
29851274,sql-server-2008,2,545,0.0,9.08,0.01
5545696,php,4,254,0.0,4.23,0.0
5545696,zend-framework,4,254,0.0,4.23,0.0
5545696,classloader,4,254,0.0,4.23,0.0
5545696,zend-loader,4,254,0.0,4.23,0.0
17077285,c#,2,679,0.0,11.32,0.01
17077285,clipboard,2,679,0.0,11.32,0.01
16484894,c#,5,1680,0.0,28.0,0.02
16484894,.net,5,1680,0.0,28.0,0.02
16484894,winforms,5,1680,0.0,28.0,0.02
16484894,windows-8,5,1680,0.0,28.0,0.02
16484894,windows-xp,5,1680,0.0,28.0,0.02
19718991,performance,3,25423,7.0,423.72,0.29
19718991,sap,3,25423,7.0,423.72,0.29
19718991,abap,3,25423,7.0,423.72,0.29
2644369,jquery,2,1260,0.0,21.0,0.01
2644369,internet-explorer,2,1260,0.0,21.0,0.01
33150564,linux,2,818,0.0,13.63,0.01
33150564,netstat,2,818,0.0,13.63,0.01
40451603,c#,5,3152,1.0,52.53,0.04
40451603,.net,5,3152,1.0,52.53,0.04
40451603,scripting,5,3152,1.0,52.53,0.04
40451603,.net-core,5,3152,1.0,52.53,0.04
40451603,roslyn,5,3152,1.0,52.53,0.04
11354331,ruby-on-rails,1,579,0.0,9.65,0.01
39020573,c#,3,541,0.0,9.02,0.01
39020573,xml,3,541,0.0,9.02,0.01
39020573,linq,3,541,0.0,9.02,0.01
25978556,python,4,213,0.0,3.55,0.0
25978556,python-3.x,4,213,0.0,3.55,0.0
25978556,dictionary,4,213,0.0,3.55,0.0
25978556,pandas,4,213,0.0,3.55,0.0
6990626,c++,3,233,0.0,3.88,0.0
6990626,string,3,233,0.0,3.88,0.0
6990626,c-preprocessor,3,233,0.0,3.88,0.0
28723353,javascript,3,148,0.0,2.47,0.0
28723353,arrays,3,148,0.0,2.47,0.0
28723353,object,3,148,0.0,2.47,0.0
32685781,ruby,3,992,0.0,16.53,0.01
32685781,ruby-on-rails-4,3,992,0.0,16.53,0.01
32685781,rake,3,992,0.0,16.53,0.01
28235032,javascript,5,2363,1.0,39.38,0.03
28235032,php,5,2363,1.0,39.38,0.03
28235032,html,5,2363,1.0,39.38,0.03
28235032,image,5,2363,1.0,39.38,0.03
28235032,magento,5,2363,1.0,39.38,0.03
35275072,javascript,2,562,0.0,9.37,0.01
35275072,jquery,2,562,0.0,9.37,0.01
25755922,ruby,3,976,0.0,16.27,0.01
25755922,if-statement,3,976,0.0,16.27,0.01
25755922,conditional,3,976,0.0,16.27,0.01
43802498,ios,4,598,0.0,9.97,0.01
43802498,swift,4,598,0.0,9.97,0.01
43802498,delegates,4,598,0.0,9.97,0.01
43802498,uicollectionview,4,598,0.0,9.97,0.01
39406917,powershell,2,2214,1.0,36.9,0.03
39406917,multilanguage,2,2214,1.0,36.9,0.03
35268195,php,4,90,0.0,1.5,0.0
35268195,wordpress,4,90,0.0,1.5,0.0
35268195,csv,4,90,0.0,1.5,0.0
